C:\Users\PC\Desktop\Data-self-driving\IMG\center_2023_07_12_23_32_53_829.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\left_2023_07_12_23_32_53_829.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\right_2023_07_12_23_32_53_829.jpg, 0, 0, 0, 7.920026E-05
C:\Users\PC\Desktop\Data-self-driving\IMG\center_2023_07_12_23_32_53_933.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\left_2023_07_12_23_32_53_933.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\right_2023_07_12_23_32_53_933.jpg, 0, 0, 0, 8.025993E-05
C:\Users\PC\Desktop\Data-self-driving\IMG\center_2023_07_12_23_32_54_039.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\left_2023_07_12_23_32_54_039.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\right_2023_07_12_23_32_54_039.jpg, 0, 0, 0, 8.007138E-05
C:\Users\PC\Desktop\Data-self-driving\IMG\center_2023_07_12_23_32_54_144.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\left_2023_07_12_23_32_54_144.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\right_2023_07_12_23_32_54_144.jpg, 0, 0, 0, 7.795478E-05
C:\Users\PC\Desktop\Data-self-driving\IMG\center_2023_07_12_23_32_54_251.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\left_2023_07_12_23_32_54_251.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\right_2023_07_12_23_32_54_251.jpg, 0, 0, 0, 7.889261E-05
C:\Users\PC\Desktop\Data-self-driving\IMG\center_2023_07_12_23_32_54_355.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\left_2023_07_12_23_32_54_355.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\right_2023_07_12_23_32_54_355.jpg, 0, 0, 0, 7.839433E-05
C:\Users\PC\Desktop\Data-self-driving\IMG\center_2023_07_12_23_32_54_456.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\left_2023_07_12_23_32_54_456.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\right_2023_07_12_23_32_54_456.jpg, 0, 0, 0, 7.836297E-05
C:\Users\PC\Desktop\Data-self-driving\IMG\center_2023_07_12_23_32_54_561.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\left_2023_07_12_23_32_54_561.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\right_2023_07_12_23_32_54_561.jpg, 0, 0, 0, 7.927905E-05
C:\Users\PC\Desktop\Data-self-driving\IMG\center_2023_07_12_23_32_54_670.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\left_2023_07_12_23_32_54_670.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\right_2023_07_12_23_32_54_670.jpg, 0, 0, 0, 7.796265E-05
C:\Users\PC\Desktop\Data-self-driving\IMG\center_2023_07_12_23_32_54_776.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\left_2023_07_12_23_32_54_776.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\right_2023_07_12_23_32_54_776.jpg, 0, 0, 0, 7.867153E-05
C:\Users\PC\Desktop\Data-self-driving\IMG\center_2023_07_12_23_32_54_883.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\left_2023_07_12_23_32_54_883.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\right_2023_07_12_23_32_54_883.jpg, 0, 0, 0, 7.878866E-05
C:\Users\PC\Desktop\Data-self-driving\IMG\center_2023_07_12_23_32_54_990.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\left_2023_07_12_23_32_54_990.jpg, C:\Users\PC\Desktop\Data-self-driving\IMG\right_2023_07_12_23_32_54_990.jpg, 0, 0, 0, 7.949911E-05
